,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
129,Paltrinieri 2021 Leclisse  (Lambrusco di Sorbara),$25,11.0,750,Sparkling,Central Italy,"Lambrusco di Sorbara, Italian Red",Paltrinieri,95 Points,2021
130,Ruinart 2010 Dom Ruinart Blanc de Blancs Extra Brut Chardonnay (Champagne),$282,12.0,750,Sparkling,Champagne,Chardonnay,Ruinart,95 Points,2010
131,Grieve 2019 Double Eagle Cabernet Sauvignon (Napa Valley),$225,14.0,750,Red,Napa,Cabernet Sauvignon,Grieve,95 Points,2019
132,Two Paddocks 2019 The Fusilier Pinot Noir (Central Otago),$80,13.0,750,Red,New Zealand,Pinot Noir,Two Paddocks,95 Points,2019
133,Roth 2019 Ode To The Beast Cabernet Sauvignon (Alexander Valley),$95,15.0,750,Red,Sonoma,Cabernet Sauvignon,Roth,95 Points,2019
134,Taub Family Vineyards 2019 Morisoli-Borges Vineyard Cabernet Sauvignon (Rutherford),$125,15.0,750,Red,Napa,Cabernet Sauvignon,Taub Family Vineyards,95 Points,2019
135,Seña 2020 Vinedo Chadwick Cabernet Sauvignon (Maipo Valley),$350,13.0,750,Red,Chile,Cabernet Sauvignon,Seña,95 Points,2020
136,Bodegas Franco-Españolas 2012 Excelso Gran Reserva  (Rioja),$68,14.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Bodegas Franco-Españolas,95 Points,2012
137,Croix 2020 Starlings' Roost Dutton Ranch Morelli Lane Vineyard Chardonnay (Russian River Valley),$75,14.0,750,White,Sonoma,Chardonnay,Croix,95 Points,2020
138,Future Perfect 2021 The Joy Fantastic Vineyard Syrah (Sta. Rita Hills),$68,13.0,750,Red,Central Coast,Syrah,Future Perfect,95 Points,2021
139,Louis M. Martini 2018 Monte Rosso Vineyard Cabernet Sauvignon (Sonoma Valley),$125,16.0,750,Red,Sonoma,Cabernet Sauvignon,Louis M. Martini,95 Points,2018
140,Volver 2018 Rafael Canizares Cuvée Old Vines Unfiltered Tempranillo (Castilla La Mancha),$45,15.0,750,Red,Central Spain,Tempranillo,Volver,95 Points,2018
141,Zinio 2011 Selección De Suelos  (Rioja),$80,14.0,750,Red,Northern Spain,Tempranillo,Zinio,95 Points,2011
142,Pol Roger 2015 Blanc de Blancs Brut Chardonnay (Champagne),N/A,12.0,750,Sparkling,Champagne,Chardonnay,Pol Roger,94 Points,2015
143,Howell Mountain Vineyards 2018 Beatty Ranch Cabernet Sauvignon (Howell Mountain),$150,14.0,750,Red,Napa,Cabernet Sauvignon,Howell Mountain Vineyards,94 Points,2018
144,La Casaccia Di Franceschi 2019 San Leopoldo Cabernet Sauvignon-Merlot (Rosso di Toscana),$110,14.0,750,Red,Tuscany,"Cabernet Sauvignon-Merlot, Bordeaux-style Red Blend",La Casaccia Di Franceschi,94 Points,2019
145,Madson 2021 Ascona Vineyard Syrah (Santa Cruz Mountains),$48,12.0,750,Red,Central Coast,Syrah,Madson,94 Points,2021
146,Vik 2016 Millahue Red (Cachapoal Valley),N/A,14.0,750,Red,Chile,Bordeaux-style Red Blend,Vik,94 Points,2016
147,Boizel 2008 Joyau de France Brut  (Champagne),$159,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Boizel,94 Points,2008
148,Davies 2019 Winfield Vineyard Cabernet Sauvignon (Calistoga),$115,14.0,750,Red,Napa,Cabernet Sauvignon,Davies,94 Points,2019
149,Davies Vineyard 2018 J. Davies Jamie Red (Diamond Mountain District),$245,15.0,750,Red,Napa,Bordeaux-style Red Blend,Davies Vineyard,94 Points,2018
150,Le Brun de Neuville NV Double Autolyse Brut  (Champagne),$135,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Le Brun de Neuville,94 Points,
151,Rusack 2018 Mt. Carmel Vineyard Pinot Noir (Sta. Rita Hills),$65,13.0,750,Red,Central Coast,Pinot Noir,Rusack,94 Points,2018
152,Davies 2019 Criscione Vineyard Cabernet Sauvignon (St. Helena),$125,15.0,750,Red,Napa,Cabernet Sauvignon,Davies,94 Points,2019
153,Lineage 2019 L'Autre Côte Cabernet Franc (Livermore Valley),$98,13.0,750,Red,Central Coast,Cabernet Franc,Lineage,94 Points,2019
154,Earthshine 2018 Cabernet Sauvignon (Atlas Peak),$140,14.0,750,Red,Napa,Cabernet Sauvignon,Earthshine,94 Points,2018
155,Eleven Eleven 2019 Laki's Vineyard Estate Cabernet Sauvignon (Oak Knoll District),$135,15.0,750,Red,Napa,Cabernet Sauvignon,Eleven Eleven,94 Points,2019
156,Muscardini 2019 Los Chamizal Vineyards Zinfandel (Moon Mountain District Sonoma County),$48,15.0,750,Red,Sonoma,Zinfandel,Muscardini,94 Points,2019
157,Pestoni Family 2018 Cabernet Sauvignon (Rutherford),$70,14.0,750,Red,Napa,Cabernet Sauvignon,Pestoni Family,94 Points,2018
158,Sandiha 2018 Reserve Cabernet Sauvignon (Howell Mountain),$150,13.0,750,Red,Napa,Cabernet Sauvignon,Sandiha,94 Points,2018
159,Raymond 2019 District Collection Cabernet Sauvignon (Yountville),$88,15.0,750,Red,Napa,Cabernet Sauvignon,Raymond,94 Points,2019
160,Three Sticks 2020 Durell Vineyard Pinot Noir (Sonoma Coast),$75,13.0,750,Red,Sonoma,Pinot Noir,Three Sticks,94 Points,2020
161,Tooth & Nail 2020 The Stand Petite Sirah (Paso Robles),$36,15.0,750,Red,Central Coast,Petite Sirah,Tooth & Nail,94 Points,2020
162,Topophilia 2021 NDA Vineyard Chardonnay (Sonoma Coast),$45,14.0,750,White,Sonoma,Chardonnay,Topophilia,94 Points,2021
163,Bodegas Bilbainas 2012 Viña Pomal Gran Reserva  (Rioja),$50,13.0,750,Red,Northern Spain,Tempranillo,Bodegas Bilbainas,94 Points,2012
164,Familia Chávarri 2015 Larchago  (Rioja),$25,14.0,750,Red,Northern Spain,Tempranillo,Familia Chávarri,94 Points,2015
